source_term,canonical_system,skill_id,layer,confidence
红狮子城,遭遇节点系统,EncounterNodeSystem,04_叙事运行层,0.85
火山官邸,遭遇节点系统,EncounterNodeSystem,04_叙事运行层,0.85
王城,遭遇节点系统,EncounterNodeSystem,04_叙事运行层,0.85
圣树,遭遇节点系统,EncounterNodeSystem,04_叙事运行层,0.85
Boss房,遭遇节点系统,EncounterNodeSystem,04_叙事运行层,0.85
野外Boss,遭遇节点系统,EncounterNodeSystem,04_叙事运行层,0.85
已解锁赐福,战役状态系统,CampaignStateSystem,04_叙事运行层,0.85
已击败Boss,战役状态系统,CampaignStateSystem,04_叙事运行层,0.85
持有大卢恩,战役状态系统,CampaignStateSystem,04_叙事运行层,0.85
NPC生死,战役状态系统,CampaignStateSystem,04_叙事运行层,0.85
任务阶段,战役状态系统,CampaignStateSystem,04_叙事运行层,0.85
结局路线,战役状态系统,CampaignStateSystem,04_叙事运行层,0.85
卢恩掉落点,战役状态系统,CampaignStateSystem,04_叙事运行层,0.85
白天,时间推进系统,TimeProgressionSystem,04_叙事运行层,0.85
夜晚,时间推进系统,TimeProgressionSystem,04_叙事运行层,0.85
休息,时间推进系统,TimeProgressionSystem,04_叙事运行层,0.85
死亡回归,时间推进系统,TimeProgressionSystem,04_叙事运行层,0.85
NPC移动,时间推进系统,TimeProgressionSystem,04_叙事运行层,0.85
Boss击败后,时间推进系统,TimeProgressionSystem,04_叙事运行层,0.85
任务错过,时间推进系统,TimeProgressionSystem,04_叙事运行层,0.85
夜间Boss,时间推进系统,TimeProgressionSystem,04_叙事运行层,0.85
GM裁定,GM裁定与自制规则系统,GMAdjudicationHomebrewSystem,04_叙事运行层,0.85
自制规则,GM裁定与自制规则系统,GMAdjudicationHomebrewSystem,04_叙事运行层,0.85
Canon优先,GM裁定与自制规则系统,GMAdjudicationHomebrewSystem,04_叙事运行层,0.85
Wiki核对,GM裁定与自制规则系统,GMAdjudicationHomebrewSystem,04_叙事运行层,0.85
难度调整,GM裁定与自制规则系统,GMAdjudicationHomebrewSystem,04_叙事运行层,0.85
队伍人数适配,GM裁定与自制规则系统,GMAdjudicationHomebrewSystem,04_叙事运行层,0.85
TRPG化,GM裁定与自制规则系统,GMAdjudicationHomebrewSystem,04_叙事运行层,0.7
